barangay,household_id,member_id,last_name,first_name,suffix,middle_name,relationship,gender,birthday,age,local_civil_registry,marital_status,ethnicity,religion,can_read_write,highest_grade_completed
Lavigan,LAV-0016,LAV-0016-1,Cruz,Nicolas,,Castro,02,1,2017-10-08,7,8,1,Cebuano,Roman Catholic,1,10000105
Lavigan,LAV-0016,LAV-0016-2,Cruz,Felix,III,Gonzales,02,1,2006-09-19,18,2,2,Manobo,Roman Catholic,2,11000103
Lavigan,LAV-0016,LAV-0016-3,Cruz,Isabel,,Jimenez,08,2,1961-07-26,63,8,2,Davawenyo,Roman Catholic,2,30400106
Lavigan,LAV-0016,LAV-0016-4,Cruz,Francisco,,Ramirez,08,1,1962-10-07,62,2,2,Maguindanao,Evangelical,1,10000102
Lavigan,LAV-0016,LAV-0016-5,Gonzalez,Amalia,,Martinez,08,2,1992-12-07,32,2,2,Sarangani,Roman Catholic,2,11000108
Lavigan,LAV-0017,LAV-0017-1,Rojas,Ildefonso,III,Sanchez,02,1,2009-09-14,15,1,1,Sangirese,Roman Catholic,2,11000108
Lavigan,LAV-0017,LAV-0017-2,Reyes,Jacqueline,,Gutierrez,02,2,1985-03-28,39,2,2,Maranao,Bible Baptist Church,2,11000103
Lavigan,LAV-0018,LAV-0018-1,Garcia,Virgilio,Jr.,Moreno,01,1,1952-09-09,72,8,3,Surigaonon,Roman Catholic,1,10000107
Lavigan,LAV-0018,LAV-0018-2,Garcia,Dolores,,Vargas,03,2,2022-11-09,2,2,1,Maranao,Roman Catholic,,00000000
Lavigan,LAV-0018,LAV-0018-3,Garcia,Wenceslao,III,Vargas,04,1,2013-03-13,11,1,1,Manobo,Roman Catholic,2,10000101
Lavigan,LAV-0018,LAV-0018-4,Vega,Graciela,,Herrera,07,2,1947-04-06,77,2,2,Tagalog,Roman Catholic,2,10000102
Lavigan,LAV-0019,LAV-0019-1,Alvarez,Fermin,Jr.,Cruz,02,1,2015-01-17,9,1,1,Sangirese,Roman Catholic,2,10000104
Lavigan,LAV-0019,LAV-0019-2,Alvarez,Marcos,Jr.,Vargas,03,1,2022-11-12,2,2,1,Cebuano,Roman Catholic,,00000000
Lavigan,LAV-0020,LAV-0020-1,Gonzales,Norberto,,Flores,02,1,2022-01-16,2,2,1,Bisaya/Binisaya,Roman Catholic,,00000000
Lavigan,LAV-0021,LAV-0021-1,Guerrero,Manuela,,Rodriguez,01,2,1996-05-21,28,8,1,Cebuano,Iglesia ni Cristo,2,11000103
Lavigan,LAV-0021,LAV-0021-2,Guerrero,Rowena,,Moreno,02,2,2006-01-10,18,1,1,Tagalog,Iglesia ni Cristo,1,20400105
Lavigan,LAV-0021,LAV-0021-3,Guerrero,Geronimo,Sr.,Ruiz,07,1,1991-11-20,33,8,2,Others,Roman Catholic,1,10000107
Lavigan,LAV-0021,LAV-0021-4,Guerrero,Quirino,Jr.,Lopez,06,1,2003-09-26,21,8,1,Sangirese,Roman Catholic,2,20400105
Lavigan,LAV-0021,LAV-0021-5,Guerrero,Cristobal,IV,Munoz,03,1,2020-01-27,4,2,1,Maranao,Roman Catholic,,00000000
Lavigan,LAV-0022,LAV-0022-1,Gonzales,Nestor,Sr.,Cruz,02,1,2017-03-25,7,8,1,Bisaya/Binisaya,Roman Catholic,1,10000102
Lavigan,LAV-0023,LAV-0023-1,Perez,Emilia,,Rivera,02,2,2014-04-02,10,2,1,Sangil,Islam,1,10000101
Lavigan,LAV-0023,LAV-0023-2,Perez,Victoria,,Cruz,04,2,2015-02-17,9,1,1,Sarangani,Roman Catholic,2,10000101
Lavigan,LAV-0023,LAV-0023-3,Perez,Fulgencio,Jr.,Vargas,07,1,1988-08-04,36,1,2,Manobo,Roman Catholic,2,30400106
Lavigan,LAV-0023,LAV-0023-4,Gutierrez,Martina,,Espinoza,08,2,1983-05-18,41,8,2,Mandaya,Roman Catholic,1,10000106
Lavigan,LAV-0023,LAV-0023-5,Perez,Elena,,Cruz,03,2,2022-10-08,2,1,1,Mandaya,Roman Catholic,,00000000
Lavigan,LAV-0024,LAV-0024-1,Vargas,Amador,Sr.,Torres,01,1,1972-07-09,52,2,2,Tausug,Roman Catholic,2,11000202
Lavigan,LAV-0024,LAV-0024-2,Vargas,Ricardo,Jr.,Molina,02,1,1993-06-14,31,8,2,Sangirese,Islam,1,21400103
Lavigan,LAV-0024,LAV-0024-3,Vargas,Antonia,,Flores,05,2,2009-11-06,15,8,1,Sarangani,Roman Catholic,2,11000203
Lavigan,LAV-0024,LAV-0024-4,Vargas,Luciano,IV,Delgado,08,1,1964-11-05,60,8,3,Surigaonon,Roman Catholic,2,11000104
Lavigan,LAV-0025,LAV-0025-1,Mendoza,Beatriz,,Ramirez,02,2,2017-01-03,7,8,1,Manobo,Roman Catholic,2,10000105
Lavigan,LAV-0025,LAV-0025-2,Mendoza,Jesus,Sr.,Torres,04,1,2018-05-14,6,1,1,Mandaya,Roman Catholic,2,00000000
Lavigan,LAV-0025,LAV-0025-3,Mendoza,Dorothy,,Santos,08,2,1994-08-21,30,2,1,Sarangani,Roman Catholic,1,20400103
Lavigan,LAV-0025,LAV-0025-4,Mendoza,Ildefonso,Sr.,Castro,07,1,1976-07-27,48,1,2,Bisaya/Binisaya,Roman Catholic,2,11000102
Lavigan,LAV-0025,LAV-0025-5,Dela Cruz,Valentin,III,Rodriguez,07,1,1999-10-05,25,2,2,Sangil,United Church of Christ,1,11000201
Lavigan,LAV-0025,LAV-0025-6,Mendoza,Flora,,Torres,04,2,2017-01-08,7,2,1,Kalagan,Roman Catholic,1,10000101
Lavigan,LAV-0026,LAV-0026-1,Ruiz,Orlando,Jr.,Jimenez,01,1,1997-10-08,27,1,2,Sangil,Roman Catholic,1,30400106
Lavigan,LAV-0026,LAV-0026-2,Estrada,Kimberly,,Ramirez,02,2,1962-06-22,62,1,2,Surigaonon,Evangelical,2,21400103
Lavigan,LAV-0026,LAV-0026-3,Morales,Quirino,Sr.,Perez,06,1,1973-11-13,51,2,2,Mandaya,Islam,2,11000202
Lavigan,LAV-0026,LAV-0026-4,Ruiz,Rodolfo,Jr.,Santos,08,1,1965-05-03,59,1,2,Mandaya,Roman Catholic,1,30400107
Lavigan,LAV-0027,LAV-0027-1,Lopez,Zoraida,,Herrera,02,2,2015-02-09,9,1,1,Manobo,Roman Catholic,2,10000105
Lavigan,LAV-0027,LAV-0027-2,Lopez,Sergio,IV,Morales,04,1,2018-12-03,6,2,1,Kalagan,Iglesia ni Cristo,2,00000000
Lavigan,LAV-0027,LAV-0027-3,Lopez,May,,Morales,03,2,2021-07-05,3,8,1,Kalagan,Roman Catholic,,00000000
Lavigan,LAV-0028,LAV-0028-1,Bautista,Edith,,Estrada,01,2,1970-11-08,54,2,2,Maranao,Roman Catholic,2,10000102
Lavigan,LAV-0028,LAV-0028-2,Bautista,Rolando,,Ramos,02,1,1984-12-18,40,1,2,Tagalog,Roman Catholic,1,11000201
Lavigan,LAV-0028,LAV-0028-3,Bautista,Telesforo,,Torres,08,1,1989-02-13,35,2,2,Sangirese,Roman Catholic,1,20400103
Lavigan,LAV-0028,LAV-0028-4,Castillo,Josefa,,Romero,06,2,1943-10-15,81,1,3,Sangirese,Roman Catholic,1,11000203
Lavigan,LAV-0028,LAV-0028-5,Bautista,Eduardo,Sr.,Morales,05,1,2008-09-26,16,2,1,Kalagan,Evangelical,1,11000201
Lavigan,LAV-0029,LAV-0029-1,Gonzalez,Oswaldo,,Sanchez,02,1,2023-02-09,1,2,1,Sangirese,Roman Catholic,,00000000
Lavigan,LAV-0030,LAV-0030-1,Reyes,Raquel,,Lopez,01,2,1978-04-08,46,2,2,Maguindanao,Roman Catholic,2,21400103
Lavigan,LAV-0030,LAV-0030-2,Vega,Ruby,,Gonzales,02,2,1964-12-07,60,1,3,Maranao,Islam,1,21400101
Lavigan,LAV-0030,LAV-0030-3,Reyes,Salome,,Martinez,07,2,1980-03-14,44,1,2,Manobo,Roman Catholic,2,11000108
Lavigan,LAV-0030,LAV-0030-4,Reyes,Santiago,IV,Jimenez,08,1,1989-10-22,35,2,2,Tagalog,Others,1,10000106
Lavigan,LAV-0030,LAV-0030-5,Romero,Caridad,,Cabrera,08,2,1998-09-10,26,2,2,Davawenyo,Roman Catholic,2,21400102
Lavigan,LAV-0031,LAV-0031-1,Sanchez,Angelica,,Garcia,01,2,1974-06-14,50,1,2,Davawenyo,Roman Catholic,2,11000202
Lavigan,LAV-0031,LAV-0031-2,Sanchez,Quirino,IV,Gonzales,03,1,2023-01-19,1,1,1,Sarangani,Roman Catholic,,00000000
Lavigan,LAV-0031,LAV-0031-3,Castillo,Hector,III,Gomez,06,1,1989-08-05,35,8,2,Sangirese,Roman Catholic,2,11000103
Lavigan,LAV-0032,LAV-0032-1,Reyes,Katherine,,Rodriguez,01,2,1997-12-10,27,8,2,Sarangani,Roman Catholic,2,11000203
Lavigan,LAV-0032,LAV-0032-2,Reyes,Gabriela,,Vargas,04,2,2015-03-20,9,8,1,Bisaya/Binisaya,Roman Catholic,1,01000000
Lavigan,LAV-0032,LAV-0032-3,Reyes,Pilar,,Herrera,06,2,1996-02-11,28,1,2,Tagalog,Roman Catholic,2,11000201
Lavigan,LAV-0032,LAV-0032-4,Reyes,Rosemarie,,Vargas,04,2,2010-12-25,14,8,1,Mandaya,Roman Catholic,1,10000103
Lavigan,LAV-0032,LAV-0032-5,Reyes,Isabella,,Guerrero,06,2,1997-05-24,27,8,2,Surigaonon,Islam,2,11000101
Lavigan,LAV-0033,LAV-0033-1,Vargas,Julio,Jr.,Dela Rosa,02,1,2023-04-21,1,2,1,Sangil,Jehovah's Witnesses,,00000000
Lavigan,LAV-0034,LAV-0034-1,Moreno,Cornelio,,Ramirez,02,1,2015-03-21,9,8,1,Sangil,Roman Catholic,1,00000000
Lavigan,LAV-0035,LAV-0035-1,Reyes,Gregorio,Jr.,Estrada,01,1,2002-05-12,22,2,1,Sarangani,Roman Catholic,2,20400101
Lavigan,LAV-0036,LAV-0036-1,Mendoza,Celia,,Herrera,01,2,2001-03-18,23,2,1,Maguindanao,Roman Catholic,1,20400101
Lavigan,LAV-0036,LAV-0036-2,Mendoza,Michelle,,Reyes,05,2,2007-11-06,17,2,1,Sangil,Roman Catholic,1,11000101
Lavigan,LAV-0037,LAV-0037-1,Cruz,Hilario,,Gonzalez,01,1,1969-09-03,55,1,2,Tagalog,Bible Baptist Church,1,10000103
Lavigan,LAV-0037,LAV-0037-2,Gonzalez,Isidro,IV,Perez,02,1,2006-03-24,18,8,1,Tausug,Islam,1,11000102
Lavigan,LAV-0037,LAV-0037-3,Romero,Guadalupe,,Ramirez,08,2,1986-11-24,38,2,2,Manobo,Roman Catholic,2,11000108
Lavigan,LAV-0037,LAV-0037-4,Cruz,Priscilla,,Bautista,03,2,2023-12-28,1,2,1,Maguindanao,Roman Catholic,,00000000
Lavigan,LAV-0037,LAV-0037-5,Cruz,Roberto,,Gonzalez,08,1,2006-03-22,18,2,1,Others,Evangelical,2,11000101
Lavigan,LAV-0038,LAV-0038-1,Castro,Narciso,Sr.,Munoz,01,1,1981-01-10,43,1,2,Sarangani,Roman Catholic,1,11000201
Lavigan,LAV-0038,LAV-0038-2,Castro,Eusebio,Sr.,Herrera,03,1,2023-03-07,1,8,1,Maguindanao,Others,,00000000
Lavigan,LAV-0038,LAV-0038-3,Castro,Maricel,,Herrera,04,2,2013-06-28,11,8,1,Sarangani,Roman Catholic,1,10000103
Lavigan,LAV-0038,LAV-0038-4,Castro,Kimberly,,Herrera,05,2,2008-10-07,16,8,1,Sarangani,Aglipayan,1,11000105
Lavigan,LAV-0038,LAV-0038-5,Castro,Cristobal,Jr.,Herrera,04,1,2011-11-01,13,8,1,Maguindanao,Roman Catholic,1,11000202
Lavigan,LAV-0039,LAV-0039-1,Cruz,Luciano,Jr.,Torres,02,1,2020-07-10,4,1,1,Cebuano,Islam,,00000000
Lavigan,LAV-0039,LAV-0039-2,Cruz,Silvestre,III,Gutierrez,02,1,1993-08-19,31,1,2,Tausug,Others,2,10000106
Lavigan,LAV-0039,LAV-0039-3,Dela Cruz,Quirino,Jr.,Perez,07,1,1997-02-05,27,1,2,Bisaya/Binisaya,Roman Catholic,2,11000202
Lavigan,LAV-0039,LAV-0039-4,Cruz,Sergio,III,Guerrero,07,1,1991-09-02,33,2,1,Sangirese,Jehovah's Witnesses,2,11000105
Lavigan,LAV-0039,LAV-0039-5,Gonzales,Alejandra,,Flores,07,2,1993-10-10,31,8,2,Sarangani,Roman Catholic,2,11000102
Lavigan,LAV-0040,LAV-0040-1,Rivera,Elisa,,Morales,02,2,2008-01-18,16,8,1,Bisaya/Binisaya,Roman Catholic,1,11000108
Lavigan,LAV-0040,LAV-0040-2,Rivera,Margarita,,Munoz,02,2,1991-11-24,33,2,2,Davawenyo,Roman Catholic,1,10000103
Lavigan,LAV-0040,LAV-0040-3,Rivera,Mariano,Sr.,Gonzalez,04,1,2011-11-20,13,8,1,Kalagan,Roman Catholic,2,11000201
Lavigan,LAV-0040,LAV-0040-4,Rivera,Rosita,,Cruz,06,2,1984-08-12,40,1,2,Others,Bible Baptist Church,2,11000103
Lavigan,LAV-0040,LAV-0040-5,Rivera,May,,Gonzalez,04,2,2017-07-12,7,1,1,Sangil,Roman Catholic,1,10000105
Lavigan,LAV-0041,LAV-0041-1,Ruiz,Narciso,III,Delgado,02,1,2021-03-05,3,1,1,Sarangani,Islam,,00000000
Lavigan,LAV-0041,LAV-0041-2,Ruiz,Rosario,,Sanchez,02,2,1989-11-23,35,2,2,Tausug,Roman Catholic,2,11000201
Lavigan,LAV-0041,LAV-0041-3,Ruiz,Ophelia,,Garcia,07,2,2002-07-19,22,8,2,Maranao,Roman Catholic,2,11000104
Lavigan,LAV-0041,LAV-0041-4,Ruiz,Augusto,Jr.,Cruz,08,1,1958-03-16,66,8,2,Davawenyo,Roman Catholic,1,11000203
Lavigan,LAV-0041,LAV-0041-5,Ruiz,Orestes,Sr.,Ramos,04,1,2015-11-19,9,8,1,Manobo,Islam,2,00000000
Lavigan,LAV-0042,LAV-0042-1,Diaz,Prospero,III,Torres,01,1,1948-10-20,76,8,2,Sangil,Roman Catholic,2,20400102
Lavigan,LAV-0042,LAV-0042-2,Diaz,Jacqueline,,Vargas,04,2,2014-05-23,10,2,1,Manobo,Roman Catholic,1,10000101
Lavigan,LAV-0042,LAV-0042-3,Ortiz,Timoteo,Jr.,Garcia,08,1,1993-11-14,31,2,2,Sangil,Roman Catholic,1,11000203
Lavigan,LAV-0042,LAV-0042-4,Diaz,Philippa,,Vargas,04,2,2017-12-26,7,1,1,Others,Roman Catholic,1,02000000
Lavigan,LAV-0042,LAV-0042-5,Diaz,Marcela,,Ramos,08,2,1964-11-09,60,1,3,Sangirese,Roman Catholic,1,11000104
Lavigan,LAV-0042,LAV-0042-6,Gonzalez,Melissa,,Munoz,07,2,1985-06-07,39,2,2,Manobo,Roman Catholic,2,21400103
Lavigan,LAV-0043,LAV-0043-1,Moreno,Lilia,,Rivera,02,2,2018-03-02,6,8,1,Kalagan,Others,2,00000000
Lavigan,LAV-0043,LAV-0043-2,Moreno,Lucila,,Morales,02,2,1982-10-12,42,1,2,Tagalog,Roman Catholic,2,10000101
Lavigan,LAV-0043,LAV-0043-3,Moreno,Alejandra,,Jimenez,06,2,1972-09-08,52,1,3,Kalagan,Roman Catholic,2,20400102
Lavigan,LAV-0043,LAV-0043-4,Molina,Iris,,Munoz,08,2,1995-12-22,29,1,2,Sangil,Roman Catholic,2,11000108
Lavigan,LAV-0044,LAV-0044-1,Perez,Virginia,,Garcia,01,2,1999-05-03,25,1,2,Davawenyo,Roman Catholic,2,30400106
Lavigan,LAV-0044,LAV-0044-2,Perez,Lina,,Santos,03,2,2023-11-16,1,8,1,Others,Roman Catholic,,00000000
Lavigan,LAV-0044,LAV-0044-3,Jimenez,Natalia,,Aguilar,08,2,1996-08-18,28,2,1,Tagalog,Roman Catholic,1,21400105
Lavigan,LAV-0044,LAV-0044-4,Perez,Lourdes,,Santos,04,2,2017-02-08,7,1,1,Tausug,Islam,2,10000105
Lavigan,LAV-0045,LAV-0045-1,Espinoza,Wenceslao,IV,Romero,01,1,1996-07-19,28,2,2,Bisaya/Binisaya,Islam,1,11000201
Lavigan,LAV-0045,LAV-0045-2,Martinez,Amador,III,Mendoza,02,1,1976-12-09,48,2,2,Manobo,Roman Catholic,1,10000106
Lavigan,LAV-0046,LAV-0046-1,Gomez,Emilia,,Bautista,01,2,1997-04-02,27,8,2,Cebuano,Roman Catholic,1,10000103
Lavigan,LAV-0046,LAV-0046-2,Gomez,Rosemarie,,Ruiz,02,2,1991-12-04,33,2,2,Others,Islam,2,11000203
Lavigan,LAV-0046,LAV-0046-3,Gomez,Ruperto,Jr.,Gonzales,03,1,2022-12-23,2,1,1,Manobo,Roman Catholic,,00000000
Lavigan,LAV-0046,LAV-0046-4,Gomez,Concepcion,,Sanchez,08,2,2002-05-22,22,8,1,Cebuano,Roman Catholic,2,11000105
Lavigan,LAV-0047,LAV-0047-1,Ramos,Omar,Jr.,Gomez,01,1,1974-11-28,50,2,2,Tausug,Roman Catholic,2,10000106
Lavigan,LAV-0047,LAV-0047-2,Jimenez,Jorge,Jr.,Herrera,02,1,1996-03-08,28,1,2,Sarangani,Roman Catholic,2,11000201
Lavigan,LAV-0047,LAV-0047-3,Perez,Angela,,Vargas,06,2,1988-12-01,36,8,2,Tausug,Roman Catholic,1,10000101
Lavigan,LAV-0047,LAV-0047-4,Ramos,Gonzalo,,Rodriguez,07,1,2006-03-27,18,1,1,Manobo,Roman Catholic,2,11000102
Lavigan,LAV-0047,LAV-0047-5,Ramos,Virgilio,III,Vargas,05,1,2007-07-08,17,2,1,Surigaonon,Roman Catholic,1,11000105
Lavigan,LAV-0048,LAV-0048-1,Ramos,Gina,,Gutierrez,01,2,1996-07-13,28,1,2,Surigaonon,Roman Catholic,2,11000102
Lavigan,LAV-0048,LAV-0048-2,Gomez,Angela,,Martinez,02,2,1994-01-11,30,2,2,Mandaya,Roman Catholic,2,11000108
Lavigan,LAV-0048,LAV-0048-3,Ramos,Norberto,Jr.,Rivera,08,1,1991-01-08,33,1,2,Sarangani,Others,2,11000102
Lavigan,LAV-0048,LAV-0048-4,Ramos,Lydia,,Sanchez,04,2,2012-09-16,12,2,1,Davawenyo,Roman Catholic,1,11000202
Lavigan,LAV-0049,LAV-0049-1,Dela Cruz,Nicolas,,Estrada,02,1,2011-01-13,13,8,1,Tausug,Roman Catholic,1,11000201
Lavigan,LAV-0049,LAV-0049-2,Dela Cruz,Domingo,,Moreno,02,1,2002-11-01,22,8,1,Bisaya/Binisaya,Roman Catholic,1,11000104
Lavigan,LAV-0049,LAV-0049-3,Gonzales,Claudia,,Lopez,07,2,1969-10-04,55,1,2,Bisaya/Binisaya,Roman Catholic,2,11000104
Lavigan,LAV-0049,LAV-0049-4,Dela Cruz,Ireneo,Sr.,Torres,04,1,2014-12-20,10,8,1,Sangirese,Roman Catholic,1,02000000
Lavigan,LAV-0050,LAV-0050-1,Munoz,Guadalupe,,Mendoza,02,2,2017-10-05,7,8,1,Bisaya/Binisaya,Roman Catholic,2,02100000
Lavigan,LAV-0050,LAV-0050-2,Munoz,Sabina,,Jimenez,02,2,1961-09-13,63,8,2,Sangil,Islam,2,11000105
Lavigan,LAV-0050,LAV-0050-3,Reyes,Patricio,,Mendoza,06,1,1998-08-12,26,8,2,Sarangani,Roman Catholic,2,11000201
Lavigan,LAV-0050,LAV-0050-4,Munoz,Olivia,,Castillo,04,2,2017-09-03,7,8,1,Mandaya,Roman Catholic,2,02000000
Lavigan,LAV-0051,LAV-0051-1,Rodriguez,Concepcion,,Gonzales,01,2,1996-12-12,28,1,2,Mandaya,Roman Catholic,2,11000101
Lavigan,LAV-0052,LAV-0052-1,Vargas,Victor,III,Herrera,02,1,2021-09-07,3,8,1,Sangil,United Church of Christ,,00000000
Lavigan,LAV-0052,LAV-0052-2,Vargas,Luisa,,Herrera,05,2,2008-03-11,16,2,2,Mandaya,Roman Catholic,2,11000104
Lavigan,LAV-0052,LAV-0052-3,Jimenez,Quintin,Jr.,Gomez,07,1,1999-09-08,25,2,2,Tausug,Islam,2,11000103
Lavigan,LAV-0052,LAV-0052-4,Vargas,Ursula,,Herrera,04,2,2017-09-10,7,2,1,Sarangani,Islam,2,01000000
Lavigan,LAV-0053,LAV-0053-1,Silva,Esperanza,,Ramos,01,2,1995-06-08,29,2,1,Davawenyo,Roman Catholic,2,21400103
Lavigan,LAV-0054,LAV-0054-1,Dela Cruz,Quintin,IV,Diaz,02,1,2017-02-12,7,2,1,Others,Roman Catholic,1,02000000
Lavigan,LAV-0054,LAV-0054-2,Dela Cruz,Omar,,Gutierrez,04,1,2010-04-22,14,1,1,Others,Roman Catholic,1,11000104
Lavigan,LAV-0055,LAV-0055-1,Herrera,Cristobal,Sr.,Molina,01,1,1963-08-23,61,1,2,Tausug,Seventh-day Adventist,1,21400103
Lavigan,LAV-0055,LAV-0055-2,Herrera,Oswaldo,III,Rivera,03,1,2024-08-20,0,8,1,Davawenyo,Roman Catholic,,00000000
Lavigan,LAV-0056,LAV-0056-1,Mendoza,Silvia,,Cruz,01,2,1970-01-10,54,2,2,Mandaya,Roman Catholic,1,11000203
Lavigan,LAV-0056,LAV-0056-2,Mendoza,Eduardo,,Guerrero,02,1,1967-07-17,57,1,2,Sarangani,Roman Catholic,1,11000102
Lavigan,LAV-0056,LAV-0056-3,Mendoza,Ines,,Herrera,07,2,1985-09-19,39,8,2,Cebuano,Islam,2,10000103
Lavigan,LAV-0056,LAV-0056-4,Mendoza,Gilberto,Sr.,Munoz,04,1,2010-04-06,14,8,1,Bisaya/Binisaya,Others,2,11000102
Lavigan,LAV-0057,LAV-0057-1,Santos,Estela,,Garcia,02,2,2017-02-21,7,1,1,Tagalog,Roman Catholic,1,10000102
Lavigan,LAV-0058,LAV-0058-1,Molina,Ildefonso,III,Flores,01,1,1989-08-13,35,2,2,Mandaya,Roman Catholic,1,30400106
Lavigan,LAV-0058,LAV-0058-2,Molina,Tirso,,Jimenez,02,1,2005-11-26,19,2,1,Others,Roman Catholic,2,11000203
Lavigan,LAV-0058,LAV-0058-3,Molina,Veronica,,Perez,03,2,2023-07-18,1,2,1,Sarangani,Roman Catholic,,00000000
Lavigan,LAV-0058,LAV-0058-4,Molina,Andres,III,Romero,06,1,1990-07-17,34,8,2,Sangil,Roman Catholic,1,10000105
Luzon,LUZ-0001,LUZ-0001-1,Morales,Sandra,,Castillo,01,2,2006-04-20,18,1,1,Mandaya,Roman Catholic,2,11000202
Luzon,LUZ-0001,LUZ-0001-2,Morales,Braulio,Sr.,Martinez,03,1,2024-03-06,0,8,1,Manobo,Roman Catholic,,00000000
Luzon,LUZ-0001,LUZ-0001-3,Morales,Martin,IV,Martinez,04,1,2010-09-28,14,8,1,Sangirese,Roman Catholic,1,11000102
Luzon,LUZ-0001,LUZ-0001-4,Gonzalez,Jose,,Castillo,08,1,1952-07-12,72,8,2,Sangirese,Roman Catholic,2,10000105
Luzon,LUZ-0001,LUZ-0001-5,Morales,Amelia,,Martinez,04,2,2018-08-03,6,8,1,Manobo,Seventh-day Adventist,1,10000101
Luzon,LUZ-0002,LUZ-0002-1,Munoz,Tiburcio,III,Cruz,01,1,1988-12-24,36,1,2,Others,Roman Catholic,1,10000108
Luzon,LUZ-0002,LUZ-0002-2,Munoz,Carlos,,Flores,02,1,1979-09-18,45,1,2,Maranao,Roman Catholic,1,11000104
Luzon,LUZ-0002,LUZ-0002-3,Valencia,Ines,,Garcia,06,2,1987-01-05,37,8,2,Kalagan,Seventh-day Adventist,2,11000101
Luzon,LUZ-0002,LUZ-0002-4,Munoz,Caridad,,Rivera,08,2,1968-07-02,56,8,2,Kalagan,Roman Catholic,1,10000107
Luzon,LUZ-0003,LUZ-0003-1,Moreno,Hernando,,Perez,02,1,2024-08-22,0,1,1,Maguindanao,Roman Catholic,,00000000
Luzon,LUZ-0003,LUZ-0003-2,Moreno,Antonia,,Gomez,02,2,1999-04-09,25,8,2,Maranao,Roman Catholic,2,21400101
Luzon,LUZ-0003,LUZ-0003-3,Guerrero,Rodolfo,,Alvarez,07,1,1999-02-01,25,8,2,Maguindanao,Roman Catholic,1,10000101
Luzon,LUZ-0003,LUZ-0003-4,Moreno,Virgilio,Sr.,Gonzales,03,1,2020-05-18,4,8,1,Tausug,Roman Catholic,,00000000
Luzon,LUZ-0003,LUZ-0003-5,Moreno,Aurora,,Jimenez,08,2,1976-10-28,48,8,2,Maguindanao,Roman Catholic,1,11000101
Luzon,LUZ-0003,LUZ-0003-6,Ramirez,Ulises,,Garcia,08,1,1961-12-20,63,8,1,Maranao,Roman Catholic,1,11000101
Luzon,LUZ-0004,LUZ-0004-1,Diaz,Alejandro,,Santos,01,1,1962-03-06,62,2,2,Maranao,Islam,1,10000108
Luzon,LUZ-0005,LUZ-0005-1,Espinoza,Efren,III,Herrera,01,1,1981-05-11,43,8,2,Davawenyo,Roman Catholic,1,11000103
Luzon,LUZ-0005,LUZ-0005-2,Espinoza,Amelia,,Torres,03,2,2024-11-08,0,8,1,Manobo,Iglesia ni Cristo,,00000000
Luzon,LUZ-0005,LUZ-0005-3,Espinoza,Alejandra,,Torres,04,2,2017-10-20,7,2,1,Surigaonon,Roman Catholic,2,10000104
Luzon,LUZ-0005,LUZ-0005-4,Espinoza,Amalia,,Lopez,08,2,2000-08-13,24,8,2,Surigaonon,Roman Catholic,2,20400103
Luzon,LUZ-0006,LUZ-0006-1,Castillo,Pablo,,Flores,01,1,1974-01-07,50,1,3,Manobo,Roman Catholic,1,20400103
Luzon,LUZ-0006,LUZ-0006-2,Castillo,Orlando,IV,Gutierrez,02,1,1993-01-16,31,2,2,Maguindanao,Roman Catholic,2,10000102
Luzon,LUZ-0006,LUZ-0006-3,Castillo,Tomas,IV,Vargas,04,1,2016-08-14,8,1,1,Mandaya,Islam,1,10000102
Luzon,LUZ-0007,LUZ-0007-1,Rojas,Vicenta,,Herrera,02,2,2022-03-28,2,1,1,Davawenyo,Jehovah's Witnesses,,00000000
Luzon,LUZ-0007,LUZ-0007-2,Rojas,Valeria,,Herrera,02,2,1983-08-26,41,2,1,Tagalog,Evangelical,2,10000106
Luzon,LUZ-0007,LUZ-0007-3,Rojas,Ismael,Jr.,Torres,04,1,2017-07-27,7,8,1,Others,Islam,2,01000000
Luzon,LUZ-0007,LUZ-0007-4,Rojas,Mateo,IV,Torres,04,1,2011-08-10,13,2,1,Tagalog,Iglesia ni Cristo,1,11000101
Luzon,LUZ-0007,LUZ-0007-5,Jimenez,Eugenia,,Gonzales,07,2,1989-11-28,35,1,2,Sangirese,Roman Catholic,1,10000102
Luzon,LUZ-0008,LUZ-0008-1,Herrera,Bartolome,III,Castillo,01,1,2005-10-14,19,2,1,Others,Jehovah's Witnesses,2,11000101
Luzon,LUZ-0008,LUZ-0008-2,Herrera,Sarah,,Munoz,04,2,2015-01-03,9,8,1,Mandaya,Roman Catholic,2,02100000
Luzon,LUZ-0008,LUZ-0008-3,Herrera,Monica,,Flores,08,2,1956-05-10,68,1,2,Sangirese,Roman Catholic,2,10000102
Luzon,LUZ-0008,LUZ-0008-4,Herrera,Nicanor,IV,Torres,08,1,1985-02-25,39,2,2,Tagalog,Roman Catholic,1,10000101
Luzon,LUZ-0008,LUZ-0008-5,Mendoza,Wilhelmina,,Rojas,06,2,1965-08-02,59,2,2,Sarangani,Roman Catholic,2,11000201
Luzon,LUZ-0009,LUZ-0009-1,Lopez,Petra,,Moreno,01,2,1995-05-06,29,2,2,Tagalog,Jehovah's Witnesses,1,10000108
Luzon,LUZ-0009,LUZ-0009-2,Lopez,Imelda,,Medina,03,2,2023-10-01,1,2,1,Sangirese,Roman Catholic,,00000000
